,Representatives,SB0011,SB0013,SB0015,SB0016,SB0018,SB0020,SB0021,SB0022,SB0023,SB0024,SB0025,SB0027,SB0028,SB0029,SB0031,SB0032,SB0033,SB0019,SB0034,SB0037,SB0039,SB0053,SB0030,SB0055,SB0014,SB0012,SB0040,SB0059,SB0035,SB0051,SB0067,SB0050,HB0053,HB0043,HB0058,SB0078,SB0038,HB0020,SB0042,HB0034,HB0033,HB0037,HB0021,HB0059,HB0039,HB0046,HB0029,HB0055,HB0060,SB0004,SB0001,SB0005,SB0006,SB0007,HB0057,SB0105,HB0027,HB0103,HB0139,SB0041,HB0001,HB0005,HB0006,HB0007,SB0043,SB0057,SB0071,SB0072,SB0075,HB0040,HB0038,HB0100,HB0045,HB0013,HB0054,HB0056,HB0049,HB0014,HB0030,HB0032,SB0119,HB0072,SB0127,HB0017,HB0098,HB0090,SB0080,SB0026,SB0052,SB0060,SB0017,SB0049,SB0062,SB0076,HB0089,SB0045,SB0086,SB0061,SB0130,HB0151,HB0154,SB0129,HB0084,HB0077,HB0031,HB0185,HB0035,HB0194,SB0132,SB0144,SB0124,HB0138,HB0150,HB0012,HB0028,HB0189,SB0082,HB0067,SB0091,HB0168,SB0093,SB0109,SB0095,SB0099,SB0056,SB0103,SB0108,SB0068,SB0064,SB0137,SB0148,HB0024,HB0208,SB0089,SB0152,HB0156,HB0062,HB0105,SB0135,HB0135,SB0073,HB0081,SB0147,HB0079,HB0140,HB0210,HB0222,SB0100,SB0102,SB0106,SB0101,SB0074,SB0110,SB0069,SB0118,SB0122,SB0087,SB0112,SB0120,SB0126,SB0117,SB0134,SB0063,SB0123,SB0133,HB0147,HB0026,HB0104,HB0083,HB0095,HB0068,HB0124,HB0041,HB0093,HB0266,HB0155,HB0186,HB0182,HB0087,SB0190,HB0230,HB0163,HB0267,HB0211,HJR003,SB0162,HB0023,HB0258,HB0161,HB0127,HB0167,HB0170,HB0025,HB0042,HJR012,HB0198,HB0248,HB0158,HB0146,HB0162,SB0079,SB0140,SB0136,SB0125,SB0138,SB0153,SB0107,SB0096,SB0151,SB0114,HB0245,HB0142,HB0118,SB0178,SB0181,SB0192,SB0142,SB0150,SB0131,SB0146,SB0149,SB0154,SB0139,SB0111,SB0155,SB0169,SB0088,SB0159,SB0160,SB0156,SB0172,SB0173,SB0113,SB0158,SB0191,SB0185,SB0121,SB0166,SB0177,SB0161,SB0163,SB0165,SB0193,SB0187,SB0164,SB0182,SB0186,SB0197,SB0143,SB0195,SB0189,SB0170,SB0194,SB0199,SB0200,SB0212,SB0176,SB0209,SB0171,SB0180,SB0157,SB0115,SB0058,SB0201,SB0216,HB0282,HJR010,HB0213,HB0183,HB0320,HB0051,HB0063,HB0172,HB0247,HB0129,HB0015,HB0191,HB0126,HB0243,HB0236,HB0116,HB0036,HB0048,HB0260,HB0244,HB0096,HB0106,HB0177,HB0273,HB0052,HB0217,HB0184,HB0249,HB0345,HB0254,HB0288,HB0148,HB0330,SB0206,SB0218,HB0314,SB0203,HB0344,HB0363,HJR004,SB0219,HB0285,HB0359,SB0228,SB0238,HB0216,HJR022,SB0183,SB0205,SB0184,SB0204,SB0208,SB0225,SB0044,SB0213,SB0220,SB0221,SB0217,SB0227,SB0188,SB0234,HB0120,HB0263,HJR007,SB0232,SB0239,SB0242,SB0243,SB0245,SB0248,SB0250,SB0252,SB0210,SB0222,SB0237,SB0090,SB0223,SB0229,SB0036,SB0256,SB0236,SB0002,SB0003,SB0008,SB0179,SB0244,SB0251,SB0246,SB0215,SB0258,SB0230,SB0233,HB0270,HJR011,HB0237,HB0321,HB0343,HB0232,HB0206,HB0238,HB0239,HB0240,HB0252,HB0295,HB0308,HB0200,HB0192,HB0228,HB0290,HB0114,HB0097,HB0209,HB0002,HB0292,HB0227,HB0241,HB0008,HB0316,HB0251,HB0437,HB0061,HB0190,HB0207,HB0277,HB0318,HB0325,HB0259,HB0355,HB0436,HB0479,HB0233,HB0331,HB0265,HB0445,HB0464,HB0221,HB0460,HB0391,HB0328,HB0242,HB0301,HB0149,HB0440,HB0305,HB0377,HB0269,HB0386,HB0220,HB0402,HB0369,HB0160,HB0358,HB0352,HB0329,HB0448,HB0165,HB0403,HB0375,HB0196,HB0300,HB0255,HB0371,HB0421,HB0010,HB0379,HB0287,HB0405,HB0310,HJR020,HB0351,HB0347,HB0179,HB0219,HB0250,HB0339,HB0289,HB0311,HB0392,HB0381,HB0404,HB0443,HB0280,HB0439,HB0380,HB0424,HB0428,HB0338,HB0455,HB0130,HB0066,HB0223,HB0342,HB0101,HB0452,HB0323,HB0298,HB0337,HB0471,HB0112,HB0322,HB0175,HB0003,HB0009,HB0276,HB0201,HB0016,HB0279,HB0159,HB0348,HB0074,HB0341,HB0431
0,"Adams, J. S.",1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,0,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,0,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,2,1,1,2,2,2,1,0,0,2,2,2,2,1,2,1,0,2,1,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,1,1,1,0,1,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,0,1,2,1,1,1,0,1,1,1,2,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,2,1,1,2,1,1,2,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1
1,"Christensen, A.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,1,0,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,2,2,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,2,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,2,2,2,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
2,"Dabakis, J.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,2,1,1,1,1,1,1,0,2,1,1,1,1,1,1,1,0,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,0,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,2,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
3,"Dayton, M.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,2,1,2,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,0,1,0,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,0,1,1,0
4,"Fillmore, L.",1,2,1,1,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,2,2,2,2,0,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
5,"Henderson, D.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
6,"Jackson, A.",1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,2,1,1,1,1,1,0,2,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,0,0,1,1,2,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,0,1,1,2,0,1,1,1,1,1,0,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,0,1,1,2,0,1,1,1,1,2,2,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,0,1,1,0,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
